window,latent_score_mean,latent_score_median,latent_flag_rate
0,0.31854570697884704,0.2761394883803089,0.0
1,0.2524211426929563,0.22186003048930794,0.0
2,0.2848404173298955,0.27757640238822323,0.0
3,0.26640994503002546,0.24782170702038014,0.0
4,0.24702531677676018,0.2420996171499567,0.0
5,0.2395834770255599,0.2236911635687349,0.0
6,0.3188644015433026,0.2791632557628857,0.02
7,0.228322797177922,0.2434865504342878,0.0
8,0.17152394028484721,0.13678320459803758,0.0
9,0.2147670731250239,0.22837808953272268,0.0
10,0.13765693482478839,0.11941019761481436,0.0
11,0.1564839882758724,0.13519571732384444,0.0
12,0.28627216102457603,0.2686193097596009,0.0
13,0.17453533522320241,0.16562752225912952,0.0
14,0.19217853514467312,0.19697947906024002,0.0
15,0.22628575318059727,0.2294773392238166,0.0
16,0.24543417916884708,0.23915049479097633,0.0
17,0.23053003946622702,0.19927291246018813,0.0
18,0.229969795300908,0.23539796622207274,0.0
19,0.6260871928730511,0.5525571014321631,0.09
20,0.3776463782924075,0.34572154786827897,0.0
21,0.47540608098762843,0.45660862363059523,0.04
22,0.40411496838251787,0.40282945938060166,0.0
23,0.4473902522509268,0.4289337772756969,0.01
24,0.3429503133976792,0.33094439204302156,0.0
25,0.393066015179982,0.3773670278738538,0.0
26,0.37543550234719303,0.35204401798772167,0.0
27,0.3828868815389107,0.3608815910103893,0.0
28,0.3495740559428702,0.3329436753149597,0.0
29,0.39732515374084865,0.37177766171826077,0.0
30,0.36095465732182924,0.35231446924553883,0.0
31,0.29015041514262285,0.281547125041715,0.0
32,0.3311474732269598,0.2983883827915193,0.0
33,0.36426345892169115,0.28216560118294154,0.0
34,0.34714021166508247,0.35175980529483647,0.0
35,0.2710820128808005,0.27184467765573805,0.0
36,0.26011648198656445,0.240838455940457,0.0
37,0.3207079061349606,0.29814792847750443,0.0
38,0.313924727883623,0.2913007295575137,0.0
39,0.3486426416267874,0.34000039381328445,0.0
40,0.5483840012574174,0.503519618244518,0.04
41,0.4593133166281014,0.4445882746458537,0.02
42,0.5705426070931658,0.48602956661823116,0.09
43,0.44901854455853174,0.4061630257847212,0.0
44,0.506223742581909,0.49485094764982746,0.02
45,0.4597788816492324,0.4203747589894809,0.0
46,0.4333165162819681,0.38594933570047263,0.0
47,0.46392221712023635,0.4445283907558743,0.03
48,0.4373560018042772,0.40370028523205237,0.0
